date,baseline_pl,experiment_pl,baseline_trades,experiment_trades,blocked,day_type,first_trade_holds
2024-10-24,50.0,-134.0,1,1,0,CHOP,0
2024-10-25,92.0,-92.0,3,1,0,CHOP,0
2024-10-28,14.0,-4.0,4,1,1,CHOP,0
2024-10-29,-79.0,-140.0,3,3,2,CHOP,2
2024-10-30,-18.0,3.0,5,3,2,CHOP,2
2024-10-31,53.0,52.0,1,1,0,CHOP,0
2024-11-01,208.0,141.0,3,2,0,CHOP,0
2024-11-04,61.0,0.0,1,0,0,CHOP,0
2024-11-05,70.0,70.0,1,1,0,CHOP,0
2024-11-06,261.0,-334.0,3,2,2,CHOP,2
2024-11-07,0.0,-58.0,1,1,0,CHOP,0
2024-11-08,163.0,146.0,3,2,0,CHOP,0
2024-11-11,-1.0,-120.0,4,1,2,CHOP,2
2024-11-12,52.0,52.0,1,1,0,TREND,0
2024-11-13,-91.0,63.0,5,1,1,CHOP,0
2024-11-14,116.0,60.0,3,2,2,CHOP,2
2024-11-15,53.0,94.0,1,1,0,CHOP,0
2024-11-18,-212.0,-108.0,2,1,0,CHOP,0
2024-11-19,32.0,-320.0,2,2,1,CHOP,0
2024-11-20,-45.0,106.0,2,1,0,CHOP,0
2024-11-21,245.0,-300.0,3,1,0,CHOP,0
2024-11-22,224.0,-254.0,2,1,0,CHOP,0
2024-11-25,56.0,0.0,1,0,0,CHOP,0
2024-11-26,-78.0,94.0,6,1,2,CHOP,2
2024-11-27,83.0,0.0,3,0,0,CHOP,0
2024-11-28,-21.0,-74.0,2,2,0,CHOP,0
2024-11-29,52.0,0.0,1,0,0,CHOP,0
2024-12-02,-94.0,114.0,4,1,2,CHOP,2
2024-12-03,182.0,66.0,3,1,2,CHOP,2
2024-12-04,-92.0,98.0,2,1,0,CHOP,0
2024-12-05,51.0,0.0,1,0,0,CHOP,0
2024-12-06,52.0,-2.0,1,1,0,CHOP,0
2024-12-09,52.0,-36.0,1,1,0,CHOP,0
2024-12-10,-256.0,12.0,2,1,0,CHOP,0
2024-12-11,146.0,252.0,5,2,2,CHOP,2
2024-12-12,-62.0,-256.0,4,2,2,CHOP,2
2024-12-13,-191.0,65.0,2,1,0,CHOP,0
2024-12-16,32.0,67.0,2,1,0,CHOP,0
2024-12-17,50.0,-62.0,1,1,0,CHOP,0
2024-12-18,963.0,97.0,6,1,0,CHOP,0
2024-12-19,100.0,46.0,5,3,0,CHOP,0
2024-12-23,304.0,320.0,2,2,0,CHOP,0
2024-12-24,55.0,69.0,1,1,0,TREND,0
2024-12-26,-137.0,-196.0,4,1,2,CHOP,2
2024-12-27,75.0,-240.0,6,3,0,CHOP,0
2024-12-30,-549.0,-114.0,8,3,4,CHOP,4
2024-12-31,-387.0,-70.0,3,1,0,CHOP,0
2025-01-02,-376.0,-351.0,5,2,0,CHOP,0
2025-01-03,-347.0,28.0,3,1,0,CHOP,0
2025-01-06,-83.0,106.0,6,1,2,CHOP,2
2025-01-07,51.0,124.0,1,1,0,TREND,0
2025-01-08,300.0,135.0,3,2,0,CHOP,0
2025-01-10,135.0,117.0,2,1,0,TREND,0
2025-01-13,74.0,86.0,1,1,0,CHOP,0
2025-01-14,-99.0,22.0,4,1,0,CHOP,0
2025-01-15,-786.0,-16.0,3,1,0,CHOP,0
2025-01-16,57.0,82.0,1,1,0,CHOP,0
2025-01-17,3.0,0.0,7,1,2,CHOP,2
2025-01-20,67.0,90.0,2,1,0,CHOP,0
2025-01-21,241.0,105.0,2,1,0,CHOP,0
2025-01-22,-494.0,0.0,3,0,1,CHOP,0
2025-01-23,53.0,-114.0,1,1,0,CHOP,0
2025-01-24,-437.0,-54.0,3,1,0,CHOP,0
2025-01-27,50.0,-4.0,1,1,0,CHOP,0
2025-01-28,-478.0,-191.0,3,2,0,CHOP,0
2025-01-29,-139.0,-76.0,2,1,0,CHOP,0
2025-01-30,7.0,16.0,3,1,0,CHOP,0
2025-01-31,240.0,156.0,5,2,0,CHOP,0
2025-02-03,-319.0,-490.0,3,2,0,CHOP,0
2025-02-04,-6.0,-60.0,2,1,1,CHOP,0
2025-02-05,28.0,231.0,3,2,0,CHOP,0
2025-02-06,386.0,228.0,3,2,0,CHOP,0
2025-02-07,-442.0,-181.0,3,2,0,CHOP,0
2025-02-10,41.0,0.0,2,0,0,CHOP,0
2025-02-11,56.0,-142.0,1,1,1,CHOP,0
2025-02-12,-332.0,-304.0,2,1,0,CHOP,0
2025-02-13,174.0,0.0,3,0,0,CHOP,0
2025-02-14,29.0,-244.0,2,2,0,CHOP,0
2025-02-17,-124.0,6.0,3,1,0,CHOP,0
2025-02-18,-962.0,-114.0,4,1,0,CHOP,0
2025-02-19,-954.0,-40.0,5,1,0,CHOP,0
2025-02-20,423.0,318.0,6,2,1,CHOP,0
2025-02-21,470.0,106.0,3,1,0,CHOP,0
2025-02-24,-87.0,76.0,2,1,0,CHOP,0
2025-02-25,-120.0,136.0,4,3,4,CHOP,4
2025-02-26,-666.0,-15.0,6,3,6,CHOP,6
2025-02-27,-80.0,104.0,2,1,0,CHOP,0
2025-02-28,-640.0,129.0,10,1,0,CHOP,0
2025-03-03,-365.0,110.0,4,1,2,CHOP,2
