Timestamp,High,Low,Close
2026-01-02 13:32:00-05:00,48498,48480,48483
2026-01-02 13:33:00-05:00,48486,48476,48478
2026-01-02 13:34:00-05:00,48487,48478,48486
2026-01-02 13:35:00-05:00,48490,48485,48489
2026-01-02 13:36:00-05:00,48485,48478,48479
2026-01-02 13:37:00-05:00,48486,48477,48482
2026-01-02 13:38:00-05:00,48490,48478,48489
2026-01-02 13:39:00-05:00,48486,48477,48477
2026-01-02 13:40:00-05:00,48426,48423,48425
2026-01-02 13:41:00-05:00,48481,48475,48475
2026-01-02 13:42:00-05:00,48477,48471,48473
2026-01-02 13:43:00-05:00,48478,48475,48477
2026-01-02 13:44:00-05:00,48486,48479,48485
2026-01-02 13:45:00-05:00,48489,48483,48489
2026-01-02 13:46:00-05:00,48494,48489,48494
2026-01-02 13:47:00-05:00,48500,48494,48498
2026-01-02 13:48:00-05:00,48495,48490,48493
2026-01-02 13:49:00-05:00,48491,48476,48476
2026-01-02 13:50:00-05:00,48426,48420,48420
2026-01-02 13:51:00-05:00,48473,48466,48466
2026-01-02 13:52:00-05:00,48470,48464,48468
2026-01-02 13:53:00-05:00,48467,48465,48466
2026-01-02 13:54:00-05:00,48472,48468,48470
2026-01-02 13:55:00-05:00,48473,48468,48472
2026-01-02 13:56:00-05:00,48473,48466,48471
2026-01-02 13:57:00-05:00,48475,48472,48473
2026-01-02 13:58:00-05:00,48476,48471,48473
2026-01-02 13:59:00-05:00,48483,48472,48481
2026-01-02 14:00:00-05:00,48390,48389,48390
2026-01-02 14:01:00-05:00,48496,48488,48491
2026-01-02 14:02:00-05:00,48492,48488,48491
2026-01-02 14:03:00-05:00,48505,48490,48503
2026-01-02 14:04:00-05:00,48508,48501,48503
2026-01-02 14:05:00-05:00,48502,48495,48500
2026-01-02 14:06:00-05:00,48505,48499,48505
2026-01-02 14:07:00-05:00,48507,48498,48499
2026-01-02 14:08:00-05:00,48497,48492,48492
2026-01-02 14:09:00-05:00,48491,48485,48488
2026-01-02 14:10:00-05:00,48431,48424,48431
2026-01-02 14:11:00-05:00,48493,48490,48490
2026-01-02 14:12:00-05:00,48489,48483,48485
2026-01-02 14:13:00-05:00,48493,48484,48493
2026-01-02 14:14:00-05:00,48498,48492,48497
2026-01-02 14:15:00-05:00,48501,48497,48499
2026-01-02 14:16:00-05:00,48499,48491,48494
2026-01-02 14:17:00-05:00,48496,48483,48489
2026-01-02 14:18:00-05:00,48493,48489,48489
2026-01-02 14:19:00-05:00,48493,48488,48491
2026-01-02 14:20:00-05:00,48432,48429,48432
2026-01-02 14:21:00-05:00,48482,48467,48472
2026-01-02 14:22:00-05:00,48476,48470,48475
2026-01-02 14:23:00-05:00,48477,48467,48467
2026-01-02 14:24:00-05:00,48471,48465,48466
2026-01-02 14:25:00-05:00,48490,48467,48485
2026-01-02 14:26:00-05:00,48485,48476,48479
2026-01-02 14:27:00-05:00,48490,48478,48490
2026-01-02 14:28:00-05:00,48501,48491,48501
2026-01-02 14:29:00-05:00,48500,48461,48471
2026-01-02 14:30:00-05:00,48434,48431,48431
2026-01-02 14:31:00-05:00,48461,48390,48437
2026-01-02 14:32:00-05:00,48437,48341,48341
2026-01-02 14:33:00-05:00,48374,48333,48338
2026-01-02 14:34:00-05:00,48339,48266,48268
2026-01-02 14:35:00-05:00,48272,48233,48254
2026-01-02 14:36:00-05:00,48255,48190,48200
2026-01-02 14:37:00-05:00,48266,48199,48261
2026-01-02 14:38:00-05:00,48268,48235,48247
2026-01-02 14:39:00-05:00,48251,48210,48215
2026-01-02 14:40:00-05:00,48430,48429,48430
2026-01-02 14:41:00-05:00,48221,48156,48162
2026-01-02 14:42:00-05:00,48168,48146,48159
2026-01-02 14:43:00-05:00,48165,48118,48136
2026-01-02 14:44:00-05:00,48170,48135,48153
2026-01-02 14:45:00-05:00,48158,48127,48155
2026-01-02 14:46:00-05:00,48194,48140,48142
2026-01-02 14:47:00-05:00,48151,48092,48098
2026-01-02 14:48:00-05:00,48170,48098,48163
2026-01-02 14:49:00-05:00,48203,48161,48184
2026-01-02 14:50:00-05:00,48430,48430,48430
2026-01-02 14:51:00-05:00,48256,48172,48240
2026-01-02 14:52:00-05:00,48246,48224,48236
2026-01-02 14:53:00-05:00,48255,48230,48233
2026-01-02 14:54:00-05:00,48245,48223,48245
2026-01-02 14:55:00-05:00,48273,48245,48270
2026-01-02 14:56:00-05:00,48285,48260,48284
2026-01-02 14:57:00-05:00,48319,48281,48314
2026-01-02 14:58:00-05:00,48326,48303,48308
2026-01-02 14:59:00-05:00,48321,48301,48316
2026-01-02 15:00:00-05:00,48392,48390,48392
2026-01-02 15:01:00-05:00,48369,48337,48348
2026-01-02 15:02:00-05:00,48368,48345,48349
2026-01-02 15:03:00-05:00,48361,48330,48354
2026-01-02 15:04:00-05:00,48368,48346,48359
2026-01-02 15:05:00-05:00,48380,48355,48375
2026-01-02 15:06:00-05:00,48383,48354,48373
2026-01-02 15:07:00-05:00,48406,48372,48399
2026-01-02 15:08:00-05:00,48406,48363,48363
2026-01-02 15:09:00-05:00,48381,48357,48381
2026-01-02 15:10:00-05:00,48430,48426,48430
2026-01-02 15:11:00-05:00,48391,48362,48364
2026-01-02 15:12:00-05:00,48371,48332,48335
2026-01-02 15:13:00-05:00,48348,48322,48326
2026-01-02 15:14:00-05:00,48327,48299,48310
2026-01-02 15:15:00-05:00,48313,48290,48300
2026-01-02 15:16:00-05:00,48298,48275,48277
2026-01-02 15:17:00-05:00,48308,48272,48302
2026-01-02 15:18:00-05:00,48317,48260,48264
2026-01-02 15:19:00-05:00,48286,48258,48279
2026-01-02 15:20:00-05:00,48429,48426,48428
2026-01-02 15:21:00-05:00,48286,48240,48246
2026-01-02 15:22:00-05:00,48247,48216,48217
2026-01-02 15:23:00-05:00,48221,48173,48177
2026-01-02 15:24:00-05:00,48199,48157,48157
2026-01-02 15:25:00-05:00,48176,48149,48165
2026-01-02 15:26:00-05:00,48168,48140,48165
2026-01-02 15:27:00-05:00,48186,48161,48179
2026-01-02 15:28:00-05:00,48189,48157,48162
2026-01-02 15:29:00-05:00,48199,48155,48186
2026-01-02 15:30:00-05:00,48231,48184,48218
2026-01-02 15:31:00-05:00,48240,48198,48239
2026-01-02 15:32:00-05:00,48245,48219,48243
2026-01-02 15:33:00-05:00,48285,48236,48274
2026-01-02 15:34:00-05:00,48306,48270,48304
2026-01-02 15:35:00-05:00,48325,48300,48325
2026-01-02 15:36:00-05:00,48336,48321,48329
2026-01-02 15:37:00-05:00,48345,48323,48336
2026-01-02 15:38:00-05:00,48340,48316,48324
2026-01-02 15:39:00-05:00,48323,48271,48276
2026-01-02 15:40:00-05:00,48426,48424,48425
2026-01-02 15:41:00-05:00,48337,48310,48314
2026-01-02 15:42:00-05:00,48331,48313,48325
2026-01-02 15:43:00-05:00,48372,48326,48368
2026-01-02 15:44:00-05:00,48377,48337,48338
2026-01-02 15:45:00-05:00,48353,48324,48335
2026-01-02 15:46:00-05:00,48351,48332,48345
2026-01-02 15:47:00-05:00,48378,48346,48355
2026-01-02 15:48:00-05:00,48396,48347,48391
2026-01-02 15:49:00-05:00,48401,48357,48357
2026-01-02 15:50:00-05:00,48428,48425,48428
2026-01-02 15:51:00-05:00,48370,48338,48347
2026-01-02 15:52:00-05:00,48358,48314,48320
2026-01-02 15:53:00-05:00,48333,48292,48320
2026-01-02 15:54:00-05:00,48368,48315,48367
2026-01-02 15:55:00-05:00,48393,48350,48392
2026-01-02 15:56:00-05:00,48427,48394,48400
2026-01-02 15:57:00-05:00,48414,48377,48382
2026-01-02 15:58:00-05:00,48379,48334,48341
2026-01-02 15:59:00-05:00,48370,48338,48362
2026-01-02 16:00:00-05:00,48395,48390,48390
2026-01-02 16:01:00-05:00,48375,48346,48358
2026-01-02 16:02:00-05:00,48359,48328,48353
2026-01-02 16:03:00-05:00,48379,48343,48358
2026-01-02 16:04:00-05:00,48371,48345,48370
2026-01-02 16:05:00-05:00,48383,48351,48352
2026-01-02 16:06:00-05:00,48372,48341,48361
2026-01-02 16:07:00-05:00,48379,48351,48362
2026-01-02 16:08:00-05:00,48377,48355,48372
2026-01-02 16:09:00-05:00,48397,48369,48391
