trial,value,best,win_pct,win_days,lose_days,total_pts,warmup_minutes,steep_angle_threshold,proximity_points,min_entry_angle,partial_tp_pts,wm_shield_distance,swing_anchor_threshold,spike_profit_pts,spike_profit_bars,avg_1000,avg_1100,avg_1200,avg_1300,avg_1400,avg_1500,avg_1600,avg_1700
113,401.4,442.0,77.2,509,150,264530.0,5,60.0,8.0,20.0,50.0,0.0,10.0,50.0,10,56.2,148.7,217.3,265.1,312.8,352.3,390.0,401.4
114,390.2,442.0,74.4,490,169,257125.0,5,62.5,9.0,20.0,50.0,0.0,15.0,50.0,10,57.6,151.4,221.6,267.1,310.7,348.7,382.4,390.2
115,411.2,442.0,76.2,502,157,270992.0,5,65.0,10.0,25.0,50.0,0.0,10.0,50.0,10,59.6,156.4,225.1,274.5,319.8,359.7,397.0,411.2
116,377.6,442.0,73.0,481,178,248853.0,5,65.0,10.0,25.0,50.0,2.0,10.0,50.0,10,59.6,148.7,215.5,258.9,300.9,334.1,365.8,377.6
117,362.3,442.0,73.6,485,174,238735.0,5,65.0,11.0,25.0,50.0,0.0,35.0,50.0,9,62.3,150.1,212.1,252.8,293.1,325.4,355.1,362.3
118,362.8,442.0,75.1,495,164,239075.0,5,60.0,10.0,20.0,50.0,0.0,45.0,50.0,10,59.1,149.6,210.7,251.3,292.3,325.9,355.0,362.8
119,396.2,442.0,74.1,488,171,261127.0,5,62.5,8.0,25.0,50.0,2.0,5.0,50.0,10,58.8,154.3,228.4,270.4,315.8,347.1,379.2,396.2
120,311.1,442.0,75.1,495,164,205023.0,5,62.5,8.0,30.0,50.0,0.0,10.0,100.0,7,46.3,114.7,167.7,206.2,240.7,272.1,301.3,311.1
121,124.3,442.0,56.8,374,285,81945.0,5,65.0,9.0,20.0,100.0,2.0,5.0,50.0,9,5.3,20.9,52.0,68.2,91.4,103.0,116.1,124.3
122,376.2,442.0,75.1,495,164,247936.0,5,62.5,9.0,20.0,50.0,0.0,30.0,50.0,10,59.8,154.4,219.9,260.4,303.4,339.7,369.1,376.2
123,399.7,442.0,76.9,507,152,263388.0,5,62.5,11.0,20.0,50.0,0.0,10.0,50.0,10,54.6,148.0,215.3,263.9,310.8,349.3,386.0,399.7
124,377.4,442.0,75.6,498,161,248689.0,5,60.0,9.0,15.0,50.0,0.0,20.0,50.0,10,60.4,149.2,221.9,263.5,303.5,342.8,372.2,377.4
125,412.3,442.0,76.3,503,156,271711.0,5,65.0,10.0,20.0,50.0,0.0,10.0,50.0,10,60.3,157.1,226.0,275.2,320.5,360.7,398.2,412.3
126,395.8,442.0,74.2,489,170,260823.0,5,65.0,10.0,20.0,50.0,0.0,15.0,50.0,10,60.7,155.0,225.8,271.9,313.6,352.9,388.2,395.8
127,400.5,442.0,74.7,492,167,263950.0,5,65.0,10.0,25.0,50.0,2.0,5.0,50.0,10,60.7,159.1,233.8,275.6,319.9,351.5,384.9,400.5
128,415.8,442.0,76.8,506,153,274025.0,5,67.5,8.0,15.0,50.0,0.0,10.0,50.0,9,62.2,159.0,231.0,279.5,325.2,366.1,403.4,415.8
129,406.5,442.0,75.3,496,163,267859.0,5,67.5,8.0,15.0,50.0,2.0,5.0,50.0,9,62.1,161.2,238.0,281.3,326.1,358.0,392.6,406.5
130,406.5,442.0,75.3,496,163,267859.0,5,67.5,8.0,15.0,50.0,2.0,5.0,50.0,9,62.1,161.2,238.0,281.3,326.1,358.0,392.6,406.5
131,319.3,442.0,70.6,465,194,210408.0,5,67.5,8.0,15.0,75.0,2.0,5.0,75.0,9,48.2,121.1,182.3,217.9,252.1,277.1,308.6,319.3
132,406.5,442.0,75.3,496,163,267859.0,5,67.5,8.0,15.0,50.0,2.0,5.0,50.0,9,62.1,161.2,238.0,281.3,326.1,358.0,392.6,406.5
133,406.5,442.0,75.3,496,163,267859.0,5,67.5,8.0,15.0,50.0,2.0,5.0,50.0,9,62.1,161.2,238.0,281.3,326.1,358.0,392.6,406.5
134,395.4,442.0,74.8,493,166,260547.0,5,67.5,8.0,15.0,50.0,2.0,5.0,50.0,8,61.2,157.9,232.4,274.8,317.7,348.4,382.1,395.4
135,406.2,442.0,74.8,493,166,267666.0,5,67.5,7.0,15.0,50.0,2.0,5.0,50.0,9,62.3,160.6,238.0,281.4,326.1,357.8,392.4,406.2
136,406.5,442.0,75.3,496,163,267859.0,5,67.5,8.0,15.0,50.0,2.0,5.0,50.0,9,62.1,161.2,238.0,281.3,326.1,358.0,392.6,406.5
137,406.2,442.0,74.8,493,166,267666.0,5,67.5,7.0,15.0,50.0,2.0,5.0,50.0,9,62.3,160.6,238.0,281.4,326.1,357.8,392.4,406.2
138,395.4,442.0,74.8,493,166,260547.0,5,67.5,8.0,15.0,50.0,2.0,5.0,50.0,8,61.2,157.9,232.4,274.8,317.7,348.4,382.1,395.4
139,222.8,442.0,67.2,443,216,146797.0,5,65.0,7.0,15.0,50.0,16.0,5.0,50.0,9,60.5,118.9,149.8,160.8,182.6,199.9,214.1,222.8
