date,total_pts,trades,mode,blocked,first_trade_holds
2025-01-28,-91.0,2,TREND,1,0
2025-01-29,-120.0,2,TREND,0,0
2025-01-30,21.0,2,TREND,0,0
2025-01-31,56.0,2,TREND,2,0
2025-02-03,180.0,2,TREND,0,0
2025-02-04,-60.0,1,TREND,0,0
2025-02-05,15.0,1,TREND,1,0
2025-02-06,136.0,1,TREND,0,0
2025-02-07,-64.0,2,TREND,0,0
2025-02-10,26.0,1,CHOP,1,0
2025-02-11,-60.0,2,TREND,0,0
2025-02-12,56.0,2,TREND,0,0
2025-02-13,10.0,1,TREND,2,0
2025-02-14,-142.0,2,TREND,0,0
2025-02-17,6.0,1,TREND,0,0
2025-02-18,-92.0,2,TREND,2,0
2025-02-19,-40.0,1,TREND,0,0
2025-02-20,220.0,2,TREND,0,0
2025-02-21,158.0,1,TREND,2,0
2025-02-24,76.0,1,TREND,0,0
2025-02-25,117.0,1,TREND,1,0
2025-02-26,148.0,1,TREND,3,0
2025-02-27,184.0,3,TREND,0,0
2025-02-28,129.0,1,TREND,0,0
2025-03-03,110.0,1,TREND,1,1
2025-03-04,267.0,1,TREND,0,0
2025-03-05,-6.0,1,TREND,0,0
2025-03-06,71.0,3,CHOP,1,0
2025-03-07,26.0,2,TREND,1,0
2025-03-10,43.0,1,TREND,0,0
2025-03-11,-650.0,4,TREND,0,0
2025-03-12,197.0,1,TREND,2,0
2025-03-13,-262.0,3,TREND,0,0
2025-03-14,-308.0,2,TREND,0,0
2025-03-17,0.0,1,TREND,0,0
2025-03-18,-130.0,2,TREND,0,0
2025-03-19,50.0,1,TREND,0,0
2025-03-20,398.0,1,TREND,1,0
2025-03-24,12.0,1,TREND,0,0
2025-03-25,-132.0,1,TREND,0,0
2025-03-26,-6.0,1,TREND,0,0
2025-03-27,110.0,1,TREND,1,0
2025-03-28,441.0,1,TREND,0,0
2025-03-31,107.0,1,TREND,1,1
2025-04-01,-53.0,2,TREND,0,0
2025-04-02,317.0,1,TREND,2,1
2025-04-03,240.0,1,TREND,1,0
2025-04-04,-70.0,2,TREND,0,0
2025-04-07,-15.0,2,TREND,0,0
2025-04-08,57.0,1,TREND,2,1
2025-04-09,-460.0,3,TREND,1,1
2025-04-10,-165.0,3,TREND,0,0
2025-04-11,65.0,2,TREND,1,1
2025-04-14,-184.0,2,TREND,0,0
2025-04-15,-262.0,3,TREND,0,0
2025-04-16,44.0,1,TREND,2,1
2025-04-17,-28.0,2,TREND,0,0
2025-04-21,289.0,2,TREND,1,1
2025-04-22,71.0,1,TREND,0,0
2025-04-23,-94.0,1,TREND,0,0
2025-04-24,347.0,1,TREND,0,0
2025-04-25,105.0,1,TREND,0,0
2025-04-28,-86.0,2,TREND,1,1
2025-04-29,-322.0,3,TREND,0,0
2025-04-30,21.0,2,TREND,1,1
2025-05-01,-153.0,3,TREND,0,0
2025-05-02,95.0,2,TREND,0,0
2025-05-05,95.0,2,TREND,0,0
2025-05-06,-22.0,2,CHOP,0,0
2025-05-07,-122.0,3,TREND,0,0
2025-05-08,26.0,1,TREND,1,0
2025-05-09,33.0,2,TREND,0,0
2025-05-12,93.0,1,TREND,0,0
2025-05-13,47.0,1,TREND,0,0
2025-05-14,-140.0,2,TREND,1,1
2025-05-15,-108.0,2,TREND,1,0
2025-05-16,-48.0,1,TREND,0,0
2025-05-19,128.0,1,TREND,1,0
2025-05-20,-124.0,2,TREND,0,0
2025-05-21,-120.0,2,TREND,0,0
2025-05-22,-162.0,2,TREND,0,0
2025-05-23,-292.0,3,TREND,1,0
2025-05-26,-104.0,2,TREND,1,0
2025-05-27,84.0,1,TREND,0,0
2025-05-28,70.0,1,TREND,0,0
2025-05-29,-318.0,3,TREND,0,0
2025-05-30,4.0,3,TREND,0,0
2025-06-02,50.0,1,TREND,0,0
2025-06-03,-128.0,2,TREND,0,0
2025-06-04,-22.0,1,TREND,3,0
2025-06-05,-8.0,2,TREND,0,0
2025-06-06,-256.0,2,TREND,0,0
2025-06-09,-78.0,1,TREND,0,0
2025-06-10,-80.0,1,TREND,0,0
2025-06-11,135.0,1,TREND,0,0
2025-06-12,234.0,1,TREND,1,0
2025-06-13,167.0,2,TREND,1,0
2025-06-16,186.0,1,TREND,0,0
2025-06-17,91.0,1,TREND,0,0
2025-06-18,241.0,1,TREND,1,0
2025-06-19,120.0,2,TREND,0,0
2025-06-23,92.0,1,TREND,1,1
2025-06-24,-60.0,3,TREND,1,1
2025-06-25,32.0,1,TREND,0,0
2025-06-26,-2.0,1,TREND,1,0
2025-06-27,379.0,1,TREND,0,0
2025-06-30,-26.0,1,TREND,0,0
2025-07-01,150.0,1,TREND,0,0
2025-07-02,52.0,2,TREND,1,0
2025-07-03,116.0,2,TREND,1,1
2025-07-04,50.0,1,TREND,1,0
2025-07-07,188.0,1,TREND,1,0
2025-07-08,-160.0,2,TREND,0,0
2025-07-09,41.0,2,CHOP,0,0
2025-07-10,179.0,1,TREND,1,1
2025-07-11,-186.0,2,TREND,0,0
2025-07-14,-132.0,2,TREND,0,0
2025-07-15,92.0,1,TREND,0,0
2025-07-16,-6.0,1,TREND,1,1
2025-07-17,-168.0,2,TREND,1,1
2025-07-18,134.0,1,TREND,0,0
2025-07-21,-86.0,2,TREND,0,0
2025-07-22,38.0,1,TREND,0,0
2025-07-23,24.0,1,TREND,0,0
2025-07-24,194.0,1,TREND,2,2
2025-07-25,-18.0,2,TREND,0,0
2025-07-28,-174.0,2,TREND,1,1
2025-07-29,-40.0,1,TREND,0,0
2025-07-30,-108.0,2,TREND,0,0
2025-07-31,-168.0,2,TREND,0,0
2025-08-01,-44.0,3,TREND,1,1
2025-08-04,112.0,2,TREND,0,0
2025-08-05,180.0,1,TREND,0,0
2025-08-06,-28.0,1,TREND,0,0
2025-08-07,591.0,1,TREND,3,0
2025-08-08,10.0,3,TREND,0,0
2025-08-11,99.0,1,TREND,0,0
2025-08-12,-73.0,2,TREND,0,0
2025-08-13,60.0,1,TREND,0,0
2025-08-14,-112.0,2,TREND,0,0
2025-08-15,145.0,1,TREND,0,0
2025-08-18,-262.0,3,TREND,1,1
2025-08-19,-126.0,2,TREND,2,1
2025-08-20,187.0,2,TREND,1,0
2025-08-21,142.0,2,TREND,0,0
2025-08-22,405.0,2,TREND,1,0
2025-08-25,98.0,1,TREND,1,1
