date,outcome,entry_time,exit_time,entry_type,exit_type,direction,entry_price,exit_price,realized_pl,bars_held,bars_since_open,slope_purple,slope_blue,line_spacing,support_resistance_dist,new_highs_10bar,new_lows_10bar,atr_14,avg_bar_size,velocity_5bar,mfe,mae,confidence_at_entry,entry_hour
2024-08-06,FALSE_TREND,10:25:00,10:29:00,TREND_LONG,EARLY_HARD_STOP,long,39283.0,39185.0,-196.0,4,55,4.333868408203125,3.500372129498106,41.999255741000525,526.9536945300642,5,0,40.07142857142857,39.06666666666667,70.0,0.0,-98.0,0.0,10
2024-08-06,TRUE_TREND,10:46:00,10:49:00,TREND_LONG,PARTIAL_TP,long,39325.0,39386.0,61.0,3,76,0.00011916387648813753,9.262948876096491,34.5816646107487,584.9356867993993,3,1,39.42857142857143,39.2,57.0,61.0,0.0,0.0,10
2024-08-06,TRUE_TREND,12:53:00,13:12:00,TREND_LONG,CHOP_TP,long,39396.0,39415.0,38.0,19,203,2.4361721970720476,0.9997569392148874,121.57352922306018,649.8267830823825,4,3,24.357142857142858,24.333333333333332,75.0,19.0,-29.0,0.0,12
2024-08-06,TRUE_TREND,13:16:00,13:56:00,TREND_LONG,PARTIAL_TP,long,39425.0,39479.0,54.0,40,226,-0.16648291872258772,2.873362078191427,51.29698178989929,664.8070602544467,5,1,22.214285714285715,21.933333333333334,30.0,54.0,-36.0,0.0,13
2024-08-07,TRUE_TREND,09:53:00,09:56:00,TREND_LONG,PARTIAL_TP,long,39477.0,39542.0,65.0,3,23,4.667254638671874,1.2500845102163463,52.74957744892163,193.98057741144294,3,1,39.142857142857146,38.53333333333333,39.0,65.0,0.0,0.0,9
2024-08-07,TRUE_TREND,12:44:00,12:50:00,TREND_SHORT,PARTIAL_TP,short,39280.0,39218.0,62.0,6,194,-2.4677662568933822,-2.912978891621078,90.2496931344358,340.8552133231351,1,6,22.642857142857142,22.0,-75.0,62.0,-7.0,0.0,12
2024-08-08,TRUE_TREND,09:52:00,09:54:00,TREND_LONG,PARTIAL_TP,long,39314.0,39372.0,58.0,2,22,-8.74912109375,16.0,93.0,261.9861296793024,5,4,46.642857142857146,46.53333333333333,71.0,58.0,0.0,0.0,9
2024-08-08,FALSE_TREND,10:25:00,11:14:00,TREND_LONG,EXIT_FLAT,long,39455.0,39387.0,-136.0,49,55,2.571421595982143,-1.6664565577651516,45.66592388731078,407.96532440964074,4,1,30.5,30.866666666666667,67.0,26.0,-68.0,0.0,10
2024-08-08,FALSE_TREND,11:27:00,11:29:00,TREND_LONG,EARLY_HARD_STOP,long,39501.0,39457.0,-88.0,2,117,4.667366447029533,-1.6151661287403476,68.15166128740384,447.9262355258179,8,0,25.357142857142858,24.866666666666667,63.0,0.0,-44.0,0.0,11
2024-08-08,TRUE_TREND,13:19:00,13:30:00,TREND_LONG,PARTIAL_TP,long,39507.0,39561.0,54.0,11,229,0.9132663581378299,-0.7291268726140387,120.31719778468687,451.85562346450024,7,0,23.357142857142858,23.4,68.0,54.0,-4.0,0.0,13
2024-08-08,TRUE_TREND,14:03:00,14:15:00,TREND_LONG,PARTIAL_TP,long,39584.0,39637.0,53.0,12,273,-0.2498956088362069,0.749942294034091,27.750634765623545,529.8278830344934,4,1,15.428571428571429,14.866666666666667,21.0,53.0,0.0,0.0,14
2024-08-09,FALSE_TREND,10:03:00,10:31:00,TREND_LONG,EXIT_FLAT,long,39550.0,39466.0,-168.0,28,33,5.062631854413915,10.666131719842657,37.99358063811087,205.99467952350096,7,0,32.857142857142854,32.666666666666664,79.0,32.0,-84.0,0.0,10
2024-08-09,FALSE_TREND,10:56:00,11:56:00,TREND_LONG,EXIT_FLAT,long,39604.0,39510.0,-188.0,60,86,-0.05116489955357137,3.9995625102436625,37.00349991804978,254.97118084521207,6,2,24.857142857142858,26.0,46.0,41.0,-94.0,0.0,10
2024-08-12,FALSE_TREND,09:54:00,10:06:00,TREND_SHORT,EXIT_FLAT,short,39395.0,39459.0,-128.0,12,24,-10.998974609375,3.500244140625,13.011767578129366,336.99083247376257,0,8,31.571428571428573,32.86666666666667,-35.0,13.0,-64.0,0.0,9
2024-08-13,FALSE_TREND,10:05:00,10:27:00,TREND_SHORT,EXIT_FLAT,short,39531.0,39596.0,-130.0,22,35,-13.74873388268753,-5.833813476562499,18.73354047493922,240.99193154751993,0,5,34.357142857142854,33.666666666666664,-82.0,16.0,-65.0,0.0,10
2024-08-13,FALSE_TREND,15:01:00,16:00:00,TREND_LONG,SESSION_EXIT,long,39870.0,39866.0,-8.0,59,331,-0.14988110034496754,0.3999198581861413,25.40192340352951,369.87314701990545,3,0,8.928571428571429,8.933333333333334,15.0,46.0,-31.0,0.0,15
2024-08-14,FALSE_TREND,09:53:00,10:00:00,TREND_LONG,EXIT_FLAT,long,39984.0,39921.0,-126.0,7,23,3.500651041666668,1.308197136961967,70.45901431519451,125.99322957902041,3,2,32.0,31.733333333333334,74.0,0.0,-63.0,0.0,9
2024-08-14,FALSE_TREND,10:34:00,10:37:00,TREND_SHORT,EARLY_HARD_STOP,short,39851.0,39898.0,-94.0,3,64,-0.5805969155912618,-3.0838877918956045,51.35672029194393,144.98533073352155,2,6,21.5,21.066666666666666,-99.0,0.0,-47.0,0.0,10
2024-08-14,TRUE_TREND,11:20:00,11:32:00,TREND_LONG,PARTIAL_TP,long,40006.0,40056.0,50.0,12,110,-0.13737919751979297,2.853516295999604,17.591766680016008,162.9830738844903,3,0,13.714285714285714,13.8,29.0,50.0,-13.0,0.0,11
2024-08-14,FALSE_TREND,14:58:00,15:14:00,TREND_LONG,EXIT_FLAT,long,40186.0,40117.0,-138.0,16,328,0.27140987090608376,0.4793948043828923,59.36350703310745,345.9010764656123,7,0,12.428571428571429,12.2,39.0,0.0,-69.0,0.0,14
2024-08-15,TRUE_TREND,09:59:00,10:04:00,TREND_SHORT,PARTIAL_TP,short,40506.0,40456.0,50.0,5,29,-5.153588330614698,6.0,19.849763371392328,161.99140058396733,1,4,26.214285714285715,26.133333333333333,-15.0,50.0,-5.0,0.0,9
2024-08-15,TRUE_TREND,14:41:00,16:00:00,TREND_LONG,SESSION_EXIT,long,40670.0,40692.0,44.0,79,311,0.5465361350605645,0.7833633476178877,51.71669995152479,263.9067818227704,4,1,9.357142857142858,9.133333333333333,15.0,43.0,-50.0,0.0,14
2024-08-16,TRUE_TREND,12:15:00,12:57:00,TREND_LONG,PARTIAL_TP,long,40764.0,40831.0,67.0,42,165,1.212280717209119,1.4893251604862703,74.84161312554352,198.96720022025693,3,1,11.285714285714286,11.2,31.0,67.0,-25.0,0.0,12
2024-08-19,TRUE_TREND,10:41:00,10:53:00,TREND_LONG,PARTIAL_TP,long,40965.0,41017.0,52.0,12,71,0.0001953125000000444,0.4286470777791749,95.56976428885537,137.98201179664466,5,0,14.071428571428571,13.866666666666667,12.0,52.0,0.0,0.0,10
2024-08-21,TRUE_TREND,10:06:00,10:14:00,TREND_SHORT,PARTIAL_TP,short,40954.0,40902.0,52.0,8,36,-17.499951171875,0.42884851646315636,0.006111814473115373,133.98993202139536,1,6,21.5,21.066666666666666,-53.0,52.0,-2.0,0.0,10
2024-08-21,FALSE_TREND,10:42:00,10:49:00,TREND_LONG,EXIT_FLAT,long,41078.0,40984.0,-188.0,7,72,4.347986140509545,4.353517753405448,39.18165978064644,207.9927287055616,6,0,22.142857142857142,21.6,30.0,11.0,-94.0,0.0,10
2024-08-21,FALSE_TREND,10:54:00,10:57:00,TREND_SHORT,EARLY_HARD_STOP,short,40856.0,40901.0,-90.0,3,84,-27.999690015388257,12.99957275390625,26.0021698922792,245.99720331583376,0,8,31.142857142857142,29.733333333333334,-128.0,0.0,-45.0,0.0,10
2024-08-22,FALSE_TREND,09:50:00,09:54:00,TREND_SHORT,EARLY_HARD_STOP,short,40983.0,41032.0,-98.0,4,20,-35.747802734375,2.0,14.739013671875,183.99749082195194,2,5,28.142857142857142,28.133333333333333,-84.0,11.0,-49.0,0.0,9
2024-08-22,TRUE_TREND,10:07:00,10:11:00,TREND_SHORT,PARTIAL_TP,short,40962.0,40905.0,57.0,4,37,-3.777236191542832,0.466534423828125,40.6731657014825,208.98895956610795,0,7,23.857142857142858,24.133333333333333,-51.0,57.0,0.0,0.0,10
2024-08-22,FALSE_TREND,11:19:00,12:19:00,TREND_SHORT,EXIT_FLAT,short,40841.0,40902.0,-122.0,60,109,-1.1665451019698347,0.06515573506880203,73.01021143453545,320.9528271834715,1,6,19.0,18.4,-63.0,35.0,-61.0,0.0,11
